                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4107,                 3.4922,                 3.7359,                0.00691,                0.51355,                0.01954,                0.00494,                 2.9691,                 3.4181,                 3.2924,             0.00066381,             0.00066381,             0.00066381
                      2,                 2.7539,                 3.0192,                 2.9417,                0.10452,                0.10321,                0.04662,                0.01516,                   2.69,                  3.423,                 2.8996,             0.00089142,             0.00089142,             0.00089142
                      3,                 2.4306,                 2.7173,                 2.6333,                0.25465,                 0.1711,                0.11065,                 0.0389,                 2.4245,                 2.7901,                 2.6413,             0.00067903,             0.00067903,             0.00067903
